Supplier_ID,Supplier_Name,Ingredients_Count,Availability_Confirmed,Business_Model,Technical_Support,Innovation_Focus,Certifications,Contact_Info,Strategic_Priority,Supply_Chain_Risk,Cost_Tier
SIY0002,IMCD South Africa (Pty) Ltd,194,Confirmed,Distributor,Yes,Specialty Chemicals,"ISO 9001:2015 (valid until 21-07-2026), BEE verification certificate - Level 6 Contributor (60% Procurement Recognition Level). Individual products may have Halal, COSMOS, non-GMO, RSPO, etc. certifications.","Phone: +27 11 570 4260, +27 (0)11 293 2000. Address: 275 Oak Avenue, Ferndale, Randburg, 2194, South Africa. (Email via contact form on website)",High,Low,Mid-Range
ORC0001,Orchem,2,Confirmed,Unknown,Limited,Unknown,Unknown,"Johannesburg Office: Tel: +27 11 465 6353, management@orchem.co.za; Durban Office: Tel: +27 31 100 80 40, management@orchem.co.za",Medium,Medium,Unknown
LIP0001,Vantage Speciality Chemicals,315,Confirmed,Unknown,Yes,Unknown,"China Compliant, COSMOS, Ecocert, Halal, ISO 16128, Kosher, NATRUE, Organic, RSPO, Vegan","170 Roan Crescent, Corporate Park North Midrand 1685, South Africa; Tel: +27 11 314 0912",Medium,Low,Unknown
AKU001,AECI,1,Confirmed,Direct Manufacturer,Yes,Industrial Chemicals,"Responsible Care Initiative of the Year award (CAIA) 2022, Signatories of the Responsible Care Pledge. Specific product certifications (SDS, COA) available via QR code on product labels.","AECI Specialty Chemicals: T +27 11 922 1600, E specialtychemicals@aeciworld.com",High,Low,Mid-Range
AEC001,A&E Connock,232,Confirmed,Unknown,Yes,Unknown,"Not explicitly stated on the website, but some search results mention HACCP, FDA, and Kosher certifications for some products. Further investigation would be needed for a comprehensive list.","Phone: +44 (0)1425 653367, Email: sales@connock.com",Medium,Low,Unknown
CLI0001,Clive Teubes CC / Scatters Oils,64,Confirmed,Unknown,Yes,Essential Oils,"ISO 22000, Halaal Certification, Kosher Certification, HACCP Certification","Physical Address: 75 Wakis Avenue, Strydom Park, Randburg, South Africa; Postal Address: PO Box 4919, Randburg 2125, South Africa; Telephone: +27 11 792 4451, +27 11 792 4452; Fax: +27 11 792 1110; Email: deliwe@teubes.com",High,Low,Unknown
COS0007,Cosmetic Ingredients (Pty) Ltd,50,Confirmed,Unknown,Yes,Unknown,"Many ingredients are COSMOS / Eco-Certified or vegan. Kobo Products has some COSMOS approved raw materials. Assessa has natural and marine-derived ingredients, many with Eco-certification.","Physical Address: Hennopspark, Centurion; Work Hours: Monday to Friday: 8:30 - 16:30; Email Address: info@cosmetic-ingredients.co.za; Phone Number: +27 12 653 3376",High,Low,Unknown
EVO0001,Protea Chemicals,1,Unknown,Unknown,Yes,Unknown,"ISO 9001, 14001 and 18001 certified. Signatory to the Responsible Care® programme.","Head office: Wadeville, South Africa +27 (0) 11 323 3000, Email: info@proteamining.co.za",Medium,Medium,Unknown
HEX0001,Orkila,15,Confirmed,Unknown,Yes,Unknown,"REACH compliant, regularly audited facilities compliant to highest local quality systems, active in Responsible Care or Responsible Distribution principles.","Colleen Maroun, Business Manager, T: +27 83 785 0998, E: Colleen.maroun@azelis.co.za",High,Low,Unknown
Maccullum,Exsymol,12,Confirmed,Unknown,Yes,Unknown,"Not explicitly stated for Biosil Technologies, but Exsymol has EcoVadis GOLD certification.","Biosil Technologies South Africa: Tel: +27 (0)11 314 0912, Fax: +27 (0)11 314 0912. Email: customerservice@exsymol.com (for Exsymol directly)",High,"Medium (due to international supplier with local distributor, potential for import/logistics challenges, but established distribution network mitigates some risk)",Unknown
MAT0002,Materia Medica,1,Confirmed,Unknown,Yes,Unknown,Not explicitly stated on website; further inquiry needed.,"Phone: +27 72 731 3909, Fax: +27 86 243 4777, E-mail: chantal@materiamedica.co.za",Medium,Unknown (due to lack of detailed product and operational information),Unknown
MIL0001,Millchem,1,Confirmed,Unknown,Yes,Unknown,"Not explicitly stated on the website, but they have laboratories for quality control and product development.","Phone: +27 (0)11 974 2255, +27 (0)21 557 6527; Postal Address: PO Box 8595, Edenglen, 1613; Physical Address: 90 Newton Road, Meadowdale, 1600",High,"Low (due to established infrastructure, multiple locations, and long-standing supplier relationships, despite general South African supply chain challenges)",Unknown
06A0001,06 Agencies,5,Confirmed,Unknown,Yes,Unknown,Not specified on the website.,"Adam: 083 297 4133 | adam@o6southafrica.com; McQueen: 060 434 4016 | mcqueen@o6southafrica.com; Richard: 082 821 2540 | richard@o6southafrica.com; Office Contact Number: 011 234 8399; Address: 258 Roan Crescent, Corporate Park North, Midrand, 1685",Medium,Low,Unknown
