Id,Label,timeset,modularity_class,Availability_Status,Research_Notes,Contact_Required,Strategic_Priority,Website_URL,Product_Count,Pricing_Available,New_Products,Discontinued_Products,Technical_Support,Certifications,Supply_Chain_Risk,Contact_Info,Last_Updated
CTE0001,Chemgrit Cosmetics (C-Tec),,11,Available,"Chemgrit Cosmetics (C-Tec) has been acquired by Brenntag Specialties and its operations are integrated into Brenntag South Africa's Beauty & Personal Care business unit. Brenntag offers a wide range of high-quality ingredients for cosmetics and personal care, including many relevant for skincare. They emphasize innovation, sustainability, safety, and technical support through their global Innovation & Application Centers. Pricing information is not publicly available and requires direct contact. They hold EcoVadis Gold status for sustainability and are recognized as a Top 10 Supplier by SpecialChem.",No,High,https://www.brenntag.com/en-za/industries/beauty-and-personal-care/,30.0,,"Brenntag offers a comprehensive portfolio including 'Actives', 'Botanical extracts', 'Butters', 'Chelating agents', 'Color effects', 'Colorants and pigments', 'Conditioners', 'Elastomers', 'Emollients and emulsifiers', 'Essential oils', 'Esters', 'Exfoliants', 'Fatty alcohols, fatty acids and esters', 'Film formers', 'Fragrances and perfume ingredients', 'Innovative active ingredients', 'Mild surfactants, bio-surfactants and blends', 'Natural oils', 'Optical brighteners', 'Performance polymers', 'Pigments', 'Preservatives', 'Rheology modifiers', 'Silicones', 'Skincare products sun care and complementary products (e.g biopolymers, SPF boosters)', 'Solubilizers', 'Surfactants', 'UV filters', 'Vitamins and liposomes', 'Waxes', and own branded products like CosVivet, Kenapure, Primesurf.","Not explicitly mentioned, but Chemgrit Cosmetics' independent operations have been integrated into Brenntag.","Extensive technical support, formulation assistance, regulatory support, and performance testing offered through 16 state-of-the-art Beauty & Personal Care Innovation & Application Centers globally.","EcoVadis Gold status (Brenntag), Top 10 Suppliers for Beauty & Personal Care by SpecialChem (Brenntag)",Low (due to Brenntag's global leadership and robust supply chain management),Contact via Brenntag South Africa website: https://www.brenntag.com/en-za/industries/beauty-and-personal-care/ (Contact form available on page),2025-09-23
EVO0001,Protea Chemicals,,12,Unknown,"Protea Chemicals is a major chemical distributor in South Africa, with a Consumer Care division that supplies raw materials for the personal care industry. However, their official website is currently inaccessible due to a security certificate issue, preventing a direct assessment of their product catalog. The available information from third-party sources and a product list for their mining division indicates a broad portfolio of chemicals, but a specific list of skincare ingredients could not be obtained. They are ISO certified and a signatory to the Responsible Care® programme, suggesting a commitment to quality and safety. Further investigation is required to determine their specific offerings for the skincare market.",Yes,Medium,https://proteachemicals.co.za/,0,,Unknown,Unknown,"Offers technical support, formulation assistance, and application development.","ISO 9001, 14001 and 18001 certified. Signatory to the Responsible Care® programme.",Medium,"Head office: Wadeville, South Africa +27 (0) 11 323 3000, Email: info@proteamining.co.za",2025-09-23
HEX0001,Orkila,,13,Available,"Orkila was acquired by Azelis in 2019 and is now fully integrated. All information regarding products, services, and contacts for Orkila is now found on the Azelis corporate website. Azelis offers a comprehensive range of skincare ingredients under their Personal Care market segment, including various active ingredients, emollients, and preservatives. They provide strong technical support through application laboratories, sampling services, and expert advice. Certifications include REACH compliance and adherence to local quality systems. Pricing information is not publicly available and requires direct contact. Azelis has a strong presence in South Africa and continues to strengthen its footprint through further acquisitions, indicating a high strategic priority for the region.",No,High,https://www.azelis.com,15.0,,"Not explicitly mentioned, but Azelis continuously innovates and offers new formulations.","None explicitly mentioned as discontinued, but Orkila's separate operations are integrated into Azelis.","High (Application laboratories, sampling service centers, expert advice, formulation development, problem-solving, knowledge-based advice, marketing team for research trends and new product opportunities)","REACH compliant, regularly audited facilities compliant to highest local quality systems, active in Responsible Care or Responsible Distribution principles.",Low,"Colleen Maroun, Business Manager, T: +27 83 785 0998, E: Colleen.maroun@azelis.co.za",2025-09-23
LIP0001,Vantage Speciality Chemicals,,14,Available,Vantage Speciality Chemicals offers a wide range of personal care and beauty ingredients. They have a physical presence in South Africa. Pricing information is not publicly available on their website. Technical support is indicated through dedicated sections and contact forms.,No,Medium,https://www.vantagegrp.com/,315.0,,Not explicitly stated on the website.,Not explicitly stated on the website.,Available through product-specific requests and general inquiry forms.,"China Compliant, COSMOS, Ecocert, Halal, ISO 16128, Kosher, NATRUE, Organic, RSPO, Vegan",Low,"170 Roan Crescent, Corporate Park North Midrand 1685, South Africa; Tel: +27 11 314 0912",2025-09-23
Maccullum,Exsymol,,15,Available,"Exsymol, a Monaco-based company, is a designer and manufacturer of active ingredients for cosmetics, specializing in organic silicium (Silanols), peptides, and natural extracts. Their products are distributed in South Africa by Biosil Technologies. The product catalog from Biosil Technologies includes a range of Exsymol actives such as ADENOSILANE (anti-aging, pore reduction), ASCORBOSILANE® (antioxidant, collagen synthesis, skin lightening), ASTRASINOL (anti-inflammatory, moisturizer), EPIDERMOSIL (anti-wrinkle, moisturizers), and others with various skin benefits. Technical information is provided for each ingredient, including INCI names and ingredient functions. Pricing information is not publicly available. Exsymol holds EcoVadis GOLD certification for its CSR policy. Biosil Technologies also distributes other ingredient types, indicating a broader portfolio beyond Exsymol's offerings. The strategic importance of Exsymol, through Biosil Technologies, is high due to their specialized and innovative active ingredients, particularly silanols, which align with advanced skincare formulations. Their focus on scientifically backed ingredients and sustainability (Exsymol's EcoVadis certification) makes them a valuable supplier for the SKIN-TWIN network.",No,High,"https://www.exsymol.com/en/ (Exsymol), https://www.biosiltech.com/ (Biosil Technologies)",12.0,,"None explicitly identified as new, but the Biosil Technologies website has a 'New Ingredients' section which could be explored further.",None explicitly identified.,"Detailed technical information available on product pages, suggesting good technical support through the distributor.","Not explicitly stated for Biosil Technologies, but Exsymol has EcoVadis GOLD certification.","Medium (due to international supplier with local distributor, potential for import/logistics challenges, but established distribution network mitigates some risk)","Biosil Technologies South Africa: Tel: +27 (0)11 314 0912, Fax: +27 (0)11 314 0912. Email: customerservice@exsymol.com (for Exsymol directly)",2025-09-23
MAT0002,Materia Medica,,16,Available,"Materia Medica (Pty) Ltd. is a South African company that imports and markets specialized botanical actives to the cosmetic industry. They offer technical expertise and formulatory assistance. Their website does not feature a detailed product catalog, pricing information, or specific certifications. Further direct contact would be required to obtain a comprehensive list of skincare ingredients, their availability, pricing, and certifications. The company emphasizes its technical expertise in selecting suitable actives and assisting with product development.",No,Medium,http://www.materiamedica.co.za/cosmetic/,0,,Not specified on website.,Not specified on website.,Offers technical expertise and formulatory assistance for cosmetic product development.,Not explicitly stated on website; further inquiry needed.,Unknown (due to lack of detailed product and operational information),"Phone: +27 72 731 3909, Fax: +27 86 243 4777, E-mail: chantal@materiamedica.co.za",2025-09-23
MEG0001,Meganede CC,,17,Available,"Meganede CC is a South African distributor for various international suppliers, including Silab. They specialize in naturally derived active ingredients for the cosmetic industry. Their website lists several categories of ingredients they specialize in, such as actives, emulsifiers, preservatives, emollients, sunscreen agents, chelating agents, scrubs, conditioning agents, anti-oxidants, and prebiotics. Pricing information is not available on their website. Technical support is implied through their expertise and focus on high-quality ingredients and service. Strategic priority is high due to their role as a distributor for multiple international suppliers in the South African market, offering a diverse range of specialized ingredients. Supply chain risk appears low given their established presence since 2007 and partnerships with reputable international suppliers.",No,High,https://www.meganede.com/,16.0,,Not explicitly mentioned on the website for Meganede CC. Silab's news section mentions product innovations like LIFTILIENCE® and NEOLIPYL®.,Not explicitly mentioned on the website.,Implied through their expertise and focus on high-quality ingredients and service.,"Meganede CC distributes products from suppliers like Silab, which has various certifications (e.g., EcoVadis Platinum status mentioned on Silab's news page). Specific certifications for Meganede CC itself are not explicitly stated on their website.",Low,"Email: info@meganede.com, Phone: +27 66 448 2860, +27 73 513 5984, Location: Bedfordview, Johannesburg",2025-09-23
MER0001,Merck (Pty) Ltd,,18,Unknown,"Merck KGaA, the parent company, has divested its Surface Solutions business, which included cosmetic pigments and the RonaCare line of beauty and personal care ingredients, to Global New Material International Holdings (GNMI). The RonaCare brand is now under Susonity. Therefore, Merck (Pty) Ltd in South Africa is likely a distributor or no longer directly involved in the manufacturing/supply of these specific skincare ingredients. The identified RonaCare products are: RonaCare® Cyclopeptide-5 alcoholfree, RonaCare® RenouMer COS, RonaCare® Di-Sodium Hydrogen Phosphate, RonaCare® Salicylic Acid extra pure, and RonaCare® Aluminium Chloride Hydroxide-Allantoin. Pricing and direct availability require sign-up/login on the Susonity website. Technical support is available through Susonity. Strategic importance as a direct supplier of skincare ingredients is likely low due to divestment. Supply chain risk is medium due to potential indirect relationship.",Yes,Low,https://www.merckgroup.com/en/worldwide/merck-in-south-africa.html,5.0,,"RonaCare Baobab, RonaCare Hibiscus, RonaCare JouvaMer, RonaCare ReviMer (launched by Merck parent company in 2022, now under Susonity/GNMI)","No specific discontinued skincare ingredients were explicitly found, but the divestment of the entire Surface Solutions business implies a significant shift in Merck's direct involvement in this sector.","Documentation (Certificate of Analysis, Product Specification, Safety Data Sheet, Technical Data Sheet) is available through Susonity. Direct technical support from Merck (Pty) Ltd for these specific cosmetic ingredients post-divestment is unclear.","Halal, vegan, ISO 16128 (100% NOC), COSMOS, NATRUE (associated with RonaCare products under Susonity)",Medium,"Address: 1, Friesland Drive, Longmeadow Business Estate, Modderfontein, 1645, South Africa; Phone: +27 11 372 5000, 0860063725; Email: merck4sme@merckgroup.com",2025-09-23
MIL0001,Millchem,,19,Available,"Millchem (Pty) Ltd is a market leader in South Africa, distributing a broad range of specialty ingredients for personal care, cosmetics, home care, and institutional product development. They represent major international suppliers like Ashland, Elementis, Micro Powders, and Esperis, offering diverse ingredients including bio-functional actives, rheology modifiers, natural clays, exfoliants, and sun care solutions. Their technical capabilities include blending facilities and R&D laboratories in Johannesburg and Cape Town. They provide comprehensive service, technical advice, warehousing, and distribution. While no specific pricing information is publicly available, their established infrastructure and partnerships suggest a reliable supply chain. No explicit certifications were found, but quality control is mentioned. The product count is difficult to ascertain precisely without direct access to their full catalog, but it is extensive given the number of represented companies and product categories.",No,High,https://millchem.co.za/,0,,"New product developments are highlighted by some represented companies (e.g., Ashland, Micro Powders, Esperis), but specific new products available through Millchem in South Africa were not explicitly listed.",Not specifically identified for Millchem or its represented skincare ingredient suppliers.,"Comprehensive service, technical advice, warehousing, and distribution","Not explicitly stated on the website, but they have laboratories for quality control and product development.","Low (due to established infrastructure, multiple locations, and long-standing supplier relationships, despite general South African supply chain challenges)","Phone: +27 (0)11 974 2255, +27 (0)21 557 6527; Postal Address: PO Box 8595, Edenglen, 1613; Physical Address: 90 Newton Road, Meadowdale, 1600",2025-09-23
NAT0001,Natchem CC,,20,Unknown,"Natchem CC is a key distributor for Greentech botanicals and Payan Bertrand fragrances in South Africa. While their website lacks a detailed public catalog for skincare ingredients and pricing, they offer strong customer support and are BEE certified. The Greentech product list provides a comprehensive overview of potential skincare ingredients available through Natchem CC, though specific availability and pricing require direct inquiry. Their responsiveness to customer demand for discontinued products suggests a flexible approach to their offerings.",Yes,High,,60.0,,"New product arrivals are communicated via social media and the website, primarily focusing on fragrances. Specific new skincare ingredients are not explicitly listed publicly.","Natchem CC has revived some discontinued fragrance oils due to popular demand, indicating a dynamic product portfolio.","Good level of technical support through a dedicated sales team and various representatives, emphasizing customer relationships and product suitability.",BEE (Black Economic Empowerment) certified.,Medium,"Telephone: 010 010 6174, WhatsApp: +27 82 331 4508, Email for orders: online@natchem.co.za",2025-09-23
ORC0001,Orchem,,21,Available,"Orchem is a South African chemical supplier and a member of the REDA Chemicals Group. They are a distributor for Evonik's personal care portfolio in South Africa. A detailed product catalog for skincare ingredients is not publicly available on Orchem's or REDA Chemicals' websites. Evonik's website provides extensive information on their personal care ingredients and formulations, but it is not possible to determine which of these are distributed by Orchem in South Africa without direct contact. It is recommended to contact Orchem directly to inquire about their skincare ingredient portfolio.",No,Medium,https://orchem.co.za/,0,,Unknown,Unknown,Unknown,Unknown,Medium,"Johannesburg Office: Tel: +27 11 465 6353, management@orchem.co.za; Durban Office: Tel: +27 31 100 80 40, management@orchem.co.za",2025-09-23
SAV0001,Savannah Fine Chem (Pty) Ltd,,22,Available,"Savannah Fine Chem (Pty) Ltd is a well-established South African distributor of fine chemicals, including a comprehensive range of personal care ingredients. They emphasize quality, integrity, and strong supplier relationships. They hold multiple certifications (ISO 9001:2015, FSSC 22000 v6, FSSC 24000 v1) demonstrating a commitment to quality and safety. The website lists a broad spectrum of skincare ingredients, from basic to specialty actives. Pricing information is not publicly available and requires direct inquiry. They appear to be strategically important due to their extensive product range, multiple branches, and focus on technical support and product development. Supply chain risk appears low due to their established logistics and controlled supply chains. The news section highlights new product introductions like Clarivine™.",No,High,https://savannah.co.za/,25.0,,Clarivine™ (new active ingredient from Vytrus Biotech mentioned in news section),Not specified on the website.,High (emphasized through 'cutting edge technology with sensory expertise' and 'global winners providing technical support'),"ISO 9001:2015, FSSC 22000 v6, FSSC 24000 v1",Low,"Johannesburg: Tel: +27 11 856 4500, Email: info@savannah.co.za, Office: 19 Boeing Road West, Morninghill, Bedfordview, 2007, Warehouse: 19 Steele Street, Steeledale, JHB; Cape Town: Tel: +27 21 830 5306, Email: info@savannah.co.za, Office: Spaces Century City, No 1 Bridgeway Road, Bridgeways Precinct, Century City, Cape Town, 7441, Warehouse: 5-7 Ipswitch Street, Hagley, Kuilsriver, Cape Town; Durban: Tel: +27 31 313 3338, Email: info@savannah.co.za, Office: Connect Space Musgrave, 2nd Floor 102 Stephen Dlamini Road, Durban 4001, Warehouse: 57 Joyner Road, Joggie Vermooten Park, Prospecton, Durban, Warehouse Tel: +27 31 940 3010",2025-09-23
SIY0002,IMCD South Africa (Pty) Ltd,,23,Available,"IMCD South Africa (Pty) Ltd is a leading global distributor of specialty chemicals and ingredients. Their South African website provides a partial catalog of skincare ingredients, with a total of 194 results indicated. Full product portfolio and pricing information require login to MyIMCD. They have a 'Beauty Studio' in Johannesburg for product development and technical support. Certifications include ISO 9001:2015 and BEE Level 6. The company appears to be a significant player in the South African specialty chemicals and ingredients market, including skincare.",No,High,https://www.imcdsa.co.za/,194.0,,Not explicitly identified on public pages.,Not explicitly identified on public pages.,"Comprehensive technical support through a global network of 80+ technical centers, including a 'Beauty Studio' in Johannesburg for product development and formulation assistance. Support team available via contact form.","ISO 9001:2015 (valid until 21-07-2026), BEE verification certificate - Level 6 Contributor (60% Procurement Recognition Level). Individual products may have Halal, COSMOS, non-GMO, RSPO, etc. certifications.",Low,"Phone: +27 11 570 4260, +27 (0)11 293 2000. Address: 275 Oak Avenue, Ferndale, Randburg, 2194, South Africa. (Email via contact form on website)",2025-09-23
R1907000,Perf Citrus Therm 701081,,1,Unknown,Requires verification with 06 Agencies,Yes,Low,,,,,,,,,,
R1908000,Azulene Pure (659833) *GRAM,,2,Unknown,Requires verification with A&E Connock,Yes,Low,,,,,,,,,,
R1902003,Iselux Ultra Mild,,3,Unknown,Requires verification with AECI,Yes,Medium,,,,,,,,,,
R1905039,Epigenist LS10003,,4,Available,BASF Care Creations ingredient via Botanichem,No,High,,,,,,,,,,
R1905042,Eperuline PW LS 9627,,4,Available,BASF Care Creations ingredient via Botanichem,No,High,,,,,,,,,,
R1905011,CM-Glucan Granulate,,5,Available,Advanced peptide ingredient via Carst&Walker,No,High,,,,,,,,,,
R1905012,Perfection Peptide P3,,5,Available,Advanced peptide ingredient via Carst&Walker,No,High,,,,,,,,,,
R1905023,AquaCacteen,,5,Available,Natural active ingredient via Carst&Walker,No,High,,,,,,,,,,
R1905024,Happybelle-PE,,5,Available,Natural active ingredient via Carst&Walker,No,High,,,,,,,,,,
R1905047,Gatuline Derma - Sensitive,,5,Available,Sensitive skin active via Carst&Walker,No,High,,,,,,,,,,
R1911000,Sucragel AOF,,5,Available,Rheology modifier via Carst&Walker,No,Medium,,,,,,,,,,
R1911001,Carbopol Ultrez 30,,5,Available,Rheology modifier via Carst&Walker,No,Medium,,,,,,,,,,
R1911003,Carbopol EDT 2050,,5,Available,Rheology modifier via Carst&Walker,No,Medium,,,,,,,,,,
R1905016,Regu-Stretch,,6,Unknown,Requires verification with Chempure,Yes,Medium,,,,,,,,,,
R1905017,Alpaflor Imperatoria,,6,Unknown,Requires verification with Chempure,Yes,Medium,,,,,,,,,,
R1905021,L-Carnitine,,6,Unknown,Requires verification with Chempure,Yes,Medium,,,,,,,,,,
